Code;Row;Colom;Type;Replicate;Tea;Start_weight;End_weight
4CxWcr;4;C;pelagic;c;rooibos;2.253;2.0327
4CxSag;4;C;littoral;a;green;2.0737;1.8458
4CxSar;4;C;littoral;a;rooibos;2.2234;2.0413
4CxSbg;4;C;littoral;b;green;2.0745;2.0903
4CxSbr;4;C;littoral;b;rooibos;2.1927;2.0578
4CxScg;4;C;littoral;c;green;2.105;1.9561
4CxScr;4;C;littoral;c;rooibos;2.1839;1.9481
4CxIag;4;C;sediment;a;green;2.0446;1.4892
4CxIar;4;C;sediment;a;rooibos;2.2214;2.0427
4CxIbg;4;C;sediment;b;green;2.0929;1.6297
4CxIbr;4;C;sediment;b;rooibos;2.25;2.0144
4CxIcg;4;C;sediment;c;green;1.9881;1.5299
4CxIcr;4;C;sediment;c;rooibos;2.2342;2.0408
4DxWag;4;D;pelagic;a;green;2.163;1.5299
4DxWar;4;D;pelagic;a;rooibos;2.2635;1.9687
4DxWbg;4;D;pelagic;b;green;2.0389;1.4652
4DxWbr;4;D;pelagic;b;rooibos;2.1984;1.9622
4DxWcg;4;D;pelagic;c;green;2.1192;1.514
4DxWcr;4;D;pelagic;c;rooibos;2.2111;1.9529
4DxSag;4;D;littoral;a;green;2.1242;1.5171
4DxSar;4;D;littoral;a;rooibos;2.1934;1.9442
4DxSbg;4;D;littoral;b;green;2.1107;1.5783
4DxSbr;4;D;littoral;b;rooibos;2.2137;1.9995
4DxScg;4;D;littoral;c;green;2.068;1.5071
4DxScr;4;D;littoral;c;rooibos;2.1635;1.9419
4DxIag;4;D;sediment;a;green;2.0604;1.5409
4DxIar;4;D;sediment;a;rooibos;2.2699;2.0033
4DxIbg;4;D;sediment;b;green;2.0806;1.6624
4DxIbr;4;D;sediment;b;rooibos;2.2216;2.0031
4DxIcg;4;D;sediment;c;green;2.0789;1.5657
4DxIcr;4;D;sediment;c;rooibos;2.255;2.0091
4ExWag;4;E;pelagic;a;green;2.1358;1.51
4ExWar;4;E;pelagic;a;rooibos;2.2174;1.9928
4ExWbg;4;E;pelagic;b;green;2.0564;1.5116
4ExWbr;4;E;pelagic;b;rooibos;2.0852;2.023
4ExWcg;4;E;pelagic;c;green;2.0429;1.4723
4ExWcr;4;E;pelagic;c;rooibos;2.2502;2.0216
4ExSag;4;E;littoral;a;green;2.1237;1.5998
4ExSar;4;E;littoral;a;rooibos;2.1263;1.9208
4ExSbg;4;E;littoral;b;green;2.0912;1.6707
4ExSbr;4;E;littoral;b;rooibos;2.1685;2.0001
4ExScg;4;E;littoral;c;green;2.1563;1.5947
4ExScr;4;E;littoral;c;rooibos;2.2133;1.9968
4ExIag;4;E;sediment;a;green;2.1497;1.5408
4ExIar;4;E;sediment;a;rooibos;2.214;1.9926
4ExIbg;4;E;sediment;b;green;2.0206;1.5562
4ExIbr;4;E;sediment;b;rooibos;2.1585;1.9159
4ExIcg;4;E;sediment;c;green;2.1158;1.5196
4ExIcr;4;E;sediment;c;rooibos;2.1957;1.9896
