Sample ID;Location;lake;type;Treatment;Year;Replicate;Initial weight green;Initial weight red tea ;FiNAl weight green tea;FiNAl weight red tea;incubation time;;;;;;;;;;;;;;;;;
139;IT Lases;Lases;pelagic;water 10 meter;2016;2;1.96;2.22;0.55;1.65;154.00;;;;;;;;;;;;;;;;;
140;IT Lases;Lases;pelagic;water 10 meter;2016;3;2.16;2.22;0.57;1.59;154.00;;;;;;;;;;;;;;;;;
141;IT Lases;Lases;pelagic;water 15 meter;2016;1;2.01;2.21;0.55;1.71;154.00;;;;;;;;;;;;;;;;;
142;IT Lases;Lases;pelagic;water 15 meter;2016;2;2.10;2.23;0.51;1.74;154.00;;;;;;;;;;;;;;;;;
143;IT Lases;Lases;pelagic;water 15 meter;2016;3;2.01;2.26;0.54;1.79;154.00;;;;;;;;;;;;;;;;;
144;IT Fishpond;Fishpond;littoral;on top of sediment;2016;1;2.12;2.27;0.72;1.68;90.00;;;;;;;;;;;;;;;;;
145;IT Fishpond;Fishpond;littoral;on top of sediment;2016;2;2.11;2.46;0.74;1.66;90.00;;;;;;;;;;;;;;;;;
146;IT Fishpond;Fishpond;littoral;on top of sediment;2016;3;2.08;2.23;0.74;1.63;90.00;;;;;;;;;;;;;;;;;
147;IT Fischzuchtteich;Fischzuchtteich;littoral;on top of sediment;2016;1;2.01;2.18;0.49;1.45;99.00;;;;;;;;;;;;;;;;;
148;IT Fischzuchtteich;Fischzuchtteich;littoral;on top of sediment;2016;2;2.12;2.22;0.51;1.44;99.00;;;;;;;;;;;;;;;;;
149;IT Millander Au;Millander Au;littoral;on top of sediment;2016;1;2.02;2.17;0.41;1.38;99.00;;;;;;;;;;;;;;;;;
150;IT Millander Au;Millander Au;littoral;on top of sediment;2016;2;2.12;2.21;0.47;1.44;99.00;;;;;;;;;;;;;;;;;
151;IT Seeburgweihe;Seeburgweihe;littoral;on top of sediment;2016;1;1.99;2.28;0.61;1.52;99.00;;;;;;;;;;;;;;;;;
152;IT Seeburgweihe;Seeburgweihe;littoral;on top of sediment;2016;2;2.13;2.23;0.59;1.59;99.00;;;;;;;;;;;;;;;;;
153;IT Vahrner See;Vahrnersee;littoral;on top of sediment;2016;1;1.99;2.23;0.42;1.42;99.00;;;;;;;;;;;;;;;;;
154;IT Vahrner See;Vahrnersee;littoral;on top of sediment;2016;2;1.96;2.12;0.40;1.35;99.00;;;;;;;;;;;;;;;;;
155;S Erken;Erken;pelagic;water column;2016;1;2.13;2.15;0.31;1.46;90.00;;;;;;;;;;;;;;;;;
156;S Erken;Erken;pelagic;water column;2016;2;2.12;2.26;0.32;1.52;90.00;;;;;;;;;;;;;;;;;
157;S Erken;Erken;pelagic;water column;2016;3;2.15;2.23;0.40;1.42;90.00;;;;;;;;;;;;;;;;;
159;NL Vinkeveen ;Vinkeveen ;pelagic;water column;2016;1;1.80;2.00;0.40;1.30;93.00;;;;;;;;;;;;;;;;;
160;NL Vinkeveen ;Vinkeveen ;pelagic;water 6 meter;2016;1;1.80;2.00;NA;NA;93.00;;;;;;;;;;;;;;;;;
